1542135330.62019 | #LOG_START           | ===
1542135340.72018 | INTAKE_TEMP          | 26 degC
1542135340.72148 | #FRAME_END           | ---
1542135341.22275 | #FRAME_START         | ---
1542135341.25341 | ELM_VOLTAGE          | N/V
1542135341.48082 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135341.69738 | COOLANT_TEMP         | 38 degC
1542135341.91912 | INTAKE_PRESSURE      | 39 kilopascal
1542135342.14257 | RPM                  | 1043.0 revolutions_per_minute
1542135342.36639 | SPEED                | 0 kph
1542135342.59181 | INTAKE_TEMP          | 26 degC
1542135342.59327 | #FRAME_END           | ---
1542135343.09443 | #FRAME_START         | ---
1542135343.12331 | ELM_VOLTAGE          | N/V
1542135343.35261 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135343.56825 | COOLANT_TEMP         | 38 degC
1542135343.79129 | INTAKE_PRESSURE      | 39 kilopascal
1542135344.03057 | RPM                  | 1047.0 revolutions_per_minute
1542135344.25492 | SPEED                | 0 kph
1542135344.48016 | INTAKE_TEMP          | 26 degC
1542135344.48152 | #FRAME_END           | ---
1542135344.98280 | #FRAME_START         | ---
1542135345.01340 | ELM_VOLTAGE          | N/V
1542135345.24033 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135345.45620 | COOLANT_TEMP         | 38 degC
1542135345.67904 | INTAKE_PRESSURE      | 39 kilopascal
1542135345.90244 | RPM                  | 1049.0 revolutions_per_minute
1542135346.12621 | SPEED                | 0 kph
1542135346.35173 | INTAKE_TEMP          | 26 degC
1542135346.35324 | #FRAME_END           | ---
1542135346.85453 | #FRAME_START         | ---
1542135346.88338 | ELM_VOLTAGE          | N/V
1542135347.11214 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135347.34376 | COOLANT_TEMP         | 39 degC
1542135347.56678 | INTAKE_PRESSURE      | 39 kilopascal
1542135347.79006 | RPM                  | 1047.0 revolutions_per_minute
1542135348.01391 | SPEED                | 0 kph
1542135348.23941 | INTAKE_TEMP          | 26 degC
1542135348.24084 | #FRAME_END           | ---
1542135348.74600 | #FRAME_START         | ---
1542135348.78329 | ELM_VOLTAGE          | N/V
1542135348.99972 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135349.23127 | COOLANT_TEMP         | 39 degC
1542135349.45472 | INTAKE_PRESSURE      | 38 kilopascal
1542135349.67777 | RPM                  | 1038.0 revolutions_per_minute
1542135349.90156 | SPEED                | 0 kph
1542135350.12716 | INTAKE_TEMP          | 26 degC
1542135350.12852 | #FRAME_END           | ---
1542135350.62969 | #FRAME_START         | ---
1542135350.66333 | ELM_VOLTAGE          | N/V
1542135350.88738 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135351.11895 | COOLANT_TEMP         | 39 degC
1542135351.34215 | INTAKE_PRESSURE      | 38 kilopascal
1542135351.56538 | RPM                  | 1031.0 revolutions_per_minute
1542135351.78882 | SPEED                | 0 kph
1542135352.01427 | INTAKE_TEMP          | 26 degC
1542135352.01559 | #FRAME_END           | ---
1542135352.51672 | #FRAME_START         | ---
1542135352.54327 | ELM_VOLTAGE          | N/V
1542135352.75890 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135352.97446 | COOLANT_TEMP         | 39 degC
1542135353.19720 | INTAKE_PRESSURE      | 38 kilopascal
1542135353.42051 | RPM                  | 1041.0 revolutions_per_minute
1542135353.64449 | SPEED                | 0 kph
1542135353.86986 | INTAKE_TEMP          | 26 degC
1542135353.87118 | #FRAME_END           | ---
1542135354.37461 | #FRAME_START         | ---
1542135354.40344 | ELM_VOLTAGE          | N/V
1542135354.61480 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135354.83028 | COOLANT_TEMP         | 40 degC
1542135355.05290 | INTAKE_PRESSURE      | 38 kilopascal
1542135355.27628 | RPM                  | 1041.0 revolutions_per_minute
1542135355.50025 | SPEED                | 0 kph
1542135355.72567 | INTAKE_TEMP          | 26 degC
1542135355.72698 | #FRAME_END           | ---
1542135356.22812 | #FRAME_START         | ---
1542135356.25328 | ELM_VOLTAGE          | N/V
1542135356.47022 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135356.68543 | COOLANT_TEMP         | 40 degC
1542135356.90857 | INTAKE_PRESSURE      | 38 kilopascal
1542135357.13179 | RPM                  | 1037.0 revolutions_per_minute
1542135357.35575 | SPEED                | 0 kph
1542135357.58131 | INTAKE_TEMP          | 26 degC
1542135357.58277 | #FRAME_END           | ---
1542135358.08391 | #FRAME_START         | ---
1542135358.11329 | ELM_VOLTAGE          | N/V
1542135358.34190 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135358.55729 | COOLANT_TEMP         | 40 degC
1542135358.78024 | INTAKE_PRESSURE      | 38 kilopascal
1542135650.53806 | RPM                  | 1017.0 revolutions_per_minute
1542135650.74600 | SPEED                | 0 kph
1542135650.95507 | INTAKE_TEMP          | 26 degC
1542135650.95600 | #FRAME_END           | ---
1542135651.45700 | #FRAME_START         | ---
1542135651.49097 | ELM_VOLTAGE          | N/V
1542135651.71946 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135651.95172 | COOLANT_TEMP         | 41 degC
1542135652.17421 | INTAKE_PRESSURE      | 38 kilopascal
1542135652.39760 | RPM                  | 1021.0 revolutions_per_minute
1542135652.62171 | SPEED                | 0 kph
1542135652.84685 | INTAKE_TEMP          | 26 degC
1542135652.84823 | #FRAME_END           | ---
1542135653.34950 | #FRAME_START         | ---
1542135653.38097 | ELM_VOLTAGE          | N/V
1542135653.59152 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135653.80291 | COOLANT_TEMP         | 41 degC
1542135654.02624 | INTAKE_PRESSURE      | 37 kilopascal
1542135654.24973 | RPM                  | 1020.0 revolutions_per_minute
1542135654.47710 | SPEED                | 0 kph
1542135654.70272 | INTAKE_TEMP          | 26 degC
1542135654.70409 | #FRAME_END           | ---
1542135655.20526 | #FRAME_START         | ---
1542135655.23094 | ELM_VOLTAGE          | N/V
1542135655.44689 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135655.67857 | COOLANT_TEMP         | 41 degC
1542135655.90172 | INTAKE_PRESSURE      | 37 kilopascal
1542135656.12486 | RPM                  | 1025.0 revolutions_per_minute
1542135656.34869 | SPEED                | 0 kph
1542135656.57422 | INTAKE_TEMP          | 26 degC
1542135656.57565 | #FRAME_END           | ---
1542135657.07681 | #FRAME_START         | ---
1542135657.10098 | ELM_VOLTAGE          | N/V
1542135657.31850 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135657.55020 | COOLANT_TEMP         | 42 degC
1542135657.77318 | INTAKE_PRESSURE      | 38 kilopascal
1542135658.01257 | RPM                  | 1017.0 revolutions_per_minute
1542135658.23659 | SPEED                | 0 kph
1542135658.46193 | INTAKE_TEMP          | 26 degC
1542135658.46330 | #FRAME_END           | ---
1542135658.96450 | #FRAME_START         | ---
1542135658.99096 | ELM_VOLTAGE          | N/V
1542135659.22245 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135659.43774 | COOLANT_TEMP         | 42 degC
1542135659.66036 | INTAKE_PRESSURE      | 37 kilopascal
1542135659.89955 | RPM                  | 1017.0 revolutions_per_minute
1542135660.10759 | SPEED                | 0 kph
1542135660.31706 | INTAKE_TEMP          | 26 degC
1542135660.31838 | #FRAME_END           | ---
1542135660.81953 | #FRAME_START         | ---
1542135660.85086 | ELM_VOLTAGE          | N/V
1542135661.07767 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135661.29295 | COOLANT_TEMP         | 42 degC
1542135661.51602 | INTAKE_PRESSURE      | 37 kilopascal
1542135661.73938 | RPM                  | 1010.0 revolutions_per_minute
1542135661.96327 | SPEED                | 0 kph
1542135662.18861 | INTAKE_TEMP          | 26 degC
1542135662.19073 | #FRAME_END           | ---
1542135662.69360 | #FRAME_START         | ---
1542135662.72094 | ELM_VOLTAGE          | N/V
1542135662.93353 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135663.14856 | COOLANT_TEMP         | 42 degC
1542135663.37169 | INTAKE_PRESSURE      | 37 kilopascal
1542135663.61102 | RPM                  | 1009.0 revolutions_per_minute
1542135663.83518 | SPEED                | 0 kph
1542135664.06048 | INTAKE_TEMP          | 26 degC
1542135664.06180 | #FRAME_END           | ---
1542135664.56292 | #FRAME_START         | ---
1542135664.59093 | ELM_VOLTAGE          | N/V
1542135664.80508 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135665.02042 | COOLANT_TEMP         | 43 degC
1542135665.22743 | INTAKE_PRESSURE      | 37 kilopascal
1542135665.45077 | RPM                  | 986.0 revolutions_per_minute
1542135665.65861 | SPEED                | 0 kph
1542135665.86810 | INTAKE_TEMP          | 26 degC
1542135665.86942 | #FRAME_END           | ---
1542135666.37078 | #FRAME_START         | ---
1542135666.40112 | ELM_VOLTAGE          | N/V
1542135666.62877 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135666.84397 | COOLANT_TEMP         | 43 degC
1542135667.06711 | INTAKE_PRESSURE      | 38 kilopascal
1542135667.29049 | RPM                  | 994.0 revolutions_per_minute
1542135667.49828 | SPEED                | 0 kph
1542135667.70780 | INTAKE_TEMP          | 26 degC
1542135667.70912 | #FRAME_END           | ---
1542135668.21490 | #FRAME_START         | ---
1542135668.25102 | ELM_VOLTAGE          | N/V
1542135668.46866 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135668.68425 | COOLANT_TEMP         | 43 degC
1542135668.90730 | INTAKE_PRESSURE      | 38 kilopascal
1542135669.14667 | RPM                  | 994.0 revolutions_per_minute
1542135669.37049 | SPEED                | 0 kph
1542135669.59604 | INTAKE_TEMP          | 26 degC
1542135669.59746 | #FRAME_END           | ---
1542135670.09860 | #FRAME_START         | ---
1542135670.13107 | ELM_VOLTAGE          | N/V
1542135670.35630 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135670.57182 | COOLANT_TEMP         | 43 degC
1542135670.79498 | INTAKE_PRESSURE      | 38 kilopascal
1542135671.01823 | RPM                  | 987.0 revolutions_per_minute
1542135671.24223 | SPEED                | 0 kph
1542135671.45173 | INTAKE_TEMP          | 26 degC
1542135671.45311 | #FRAME_END           | ---
1542135671.95425 | #FRAME_START         | ---
1542135671.98061 | ELM_VOLTAGE          | N/V
1542135672.19464 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135672.41160 | COOLANT_TEMP         | 44 degC
1542135672.63467 | INTAKE_PRESSURE      | 39 kilopascal
1542135672.85802 | RPM                  | 980.0 revolutions_per_minute
1542135673.08190 | SPEED                | 0 kph
1542135673.30735 | INTAKE_TEMP          | 26 degC
1542135673.30876 | #FRAME_END           | ---
1542135673.81531 | #FRAME_START         | ---
1542135673.85100 | ELM_VOLTAGE          | N/V
1542135674.06766 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135674.28319 | COOLANT_TEMP         | 44 degC
1542135674.50632 | INTAKE_PRESSURE      | 38 kilopascal
1542135674.72981 | RPM                  | 981.0 revolutions_per_minute
1542135674.95376 | SPEED                | 0 kph
1542135675.16317 | INTAKE_TEMP          | 26 degC
1542135675.16459 | #FRAME_END           | ---
1542135675.66569 | #FRAME_START         | ---
1542135675.69097 | ELM_VOLTAGE          | N/V
1542135675.90734 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135676.12303 | COOLANT_TEMP         | 44 degC
1542135676.34567 | INTAKE_PRESSURE      | 38 kilopascal
1542135676.56887 | RPM                  | 981.0 revolutions_per_minute
1542135676.79271 | SPEED                | 0 kph
1542135677.01814 | INTAKE_TEMP          | 26 degC
1542135677.01944 | #FRAME_END           | ---
1542135677.52068 | #FRAME_START         | ---
1542135677.55154 | ELM_VOLTAGE          | N/V
1542135677.77890 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135677.99405 | COOLANT_TEMP         | 44 degC
1542135678.21711 | INTAKE_PRESSURE      | 39 kilopascal
1542135678.44069 | RPM                  | 976.0 revolutions_per_minute
1542135678.66465 | SPEED                | 0 kph
1542135678.88993 | INTAKE_TEMP          | 26 degC
1542135678.89125 | #FRAME_END           | ---
1542135679.39240 | #FRAME_START         | ---
1542135679.42095 | ELM_VOLTAGE          | N/V
1542135679.65070 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135679.86573 | COOLANT_TEMP         | 45 degC
1542135680.08878 | INTAKE_PRESSURE      | 39 kilopascal
1542135680.31225 | RPM                  | 978.0 revolutions_per_minute
1542135680.53631 | SPEED                | 0 kph
1542135680.74577 | INTAKE_TEMP          | 26 degC
1542135680.74708 | #FRAME_END           | ---
1542135681.24831 | #FRAME_START         | ---
1542135681.28093 | ELM_VOLTAGE          | N/V
1542135681.50618 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135681.72142 | COOLANT_TEMP         | 45 degC
1542135681.94451 | INTAKE_PRESSURE      | 38 kilopascal
1542135682.16789 | RPM                  | 965.0 revolutions_per_minute
1542135682.39179 | SPEED                | 0 kph
1542135682.61975 | INTAKE_TEMP          | 26 degC
1542135682.62111 | #FRAME_END           | ---
1542135683.12272 | #FRAME_START         | ---
1542135683.16093 | ELM_VOLTAGE          | N/V
1542135683.37785 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135683.60899 | COOLANT_TEMP         | 45 degC
1542135683.81612 | INTAKE_PRESSURE      | 38 kilopascal
1542135684.03954 | RPM                  | 975.0 revolutions_per_minute
1542135684.26382 | SPEED                | 0 kph
1542135684.48932 | INTAKE_TEMP          | 26 degC
1542135684.49082 | #FRAME_END           | ---
1542135684.99648 | #FRAME_START         | ---
1542135685.03100 | ELM_VOLTAGE          | N/V
1542135685.24946 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135685.46519 | COOLANT_TEMP         | 45 degC
1542135685.68802 | INTAKE_PRESSURE      | 39 kilopascal
1542135685.91141 | RPM                  | 954.0 revolutions_per_minute
1542135686.13525 | SPEED                | 0 kph
1542135686.34473 | INTAKE_TEMP          | 26 degC
1542135686.34616 | #FRAME_END           | ---
1542135686.84727 | #FRAME_START         | ---
1542135686.87101 | ELM_VOLTAGE          | N/V
1542135687.08886 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135687.30444 | COOLANT_TEMP         | 46 degC
1542135687.52751 | INTAKE_PRESSURE      | 40 kilopascal
1542135687.75091 | RPM                  | 972.0 revolutions_per_minute
1542135687.97462 | SPEED                | 0 kph
1542135688.18420 | INTAKE_TEMP          | 26 degC
1542135688.18556 | #FRAME_END           | ---
1542135688.68675 | #FRAME_START         | ---
1542135688.71099 | ELM_VOLTAGE          | N/V
1542135688.92835 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135689.14443 | COOLANT_TEMP         | 46 degC
1542135689.36695 | INTAKE_PRESSURE      | 40 kilopascal
1542135689.59024 | RPM                  | 971.0 revolutions_per_minute
1542135689.81416 | SPEED                | 0 kph
1542135690.03977 | INTAKE_TEMP          | 26 degC
1542135690.04116 | #FRAME_END           | ---
1542135690.54236 | #FRAME_START         | ---
1542135690.57098 | ELM_VOLTAGE          | N/V
1542135690.78392 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135690.99933 | COOLANT_TEMP         | 46 degC
1542135691.22252 | INTAKE_PRESSURE      | 39 kilopascal
1542135691.44578 | RPM                  | 953.0 revolutions_per_minute
1542135691.66983 | SPEED                | 0 kph
1542135691.89522 | INTAKE_TEMP          | 26 degC
1542135691.89664 | #FRAME_END           | ---
1542135692.39773 | #FRAME_START         | ---
1542135692.43093 | ELM_VOLTAGE          | N/V
1542135692.65514 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135692.87099 | COOLANT_TEMP         | 46 degC
1542135693.09350 | INTAKE_PRESSURE      | 39 kilopascal
1542135693.31681 | RPM                  | 947.0 revolutions_per_minute
1542135693.54073 | SPEED                | 0 kph
1542135693.76622 | INTAKE_TEMP          | 26 degC
1542135693.76754 | #FRAME_END           | ---
1542135694.26867 | #FRAME_START         | ---
1542135694.30092 | ELM_VOLTAGE          | N/V
1542135694.52673 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135694.74190 | COOLANT_TEMP         | 46 degC
1542135694.96502 | INTAKE_PRESSURE      | 39 kilopascal
1542135695.18843 | RPM                  | 930.0 revolutions_per_minute
1542135695.41219 | SPEED                | 0 kph
1542135695.63756 | INTAKE_TEMP          | 26 degC
1542135695.63889 | #FRAME_END           | ---
1542135696.14346 | #FRAME_START         | ---
1542135696.18097 | ELM_VOLTAGE          | N/V
1542135696.39827 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135696.61343 | COOLANT_TEMP         | 47 degC
1542135696.83656 | INTAKE_PRESSURE      | 39 kilopascal
1542135697.05993 | RPM                  | 945.0 revolutions_per_minute
1542135697.28382 | SPEED                | 0 kph
1542135697.50910 | INTAKE_TEMP          | 26 degC
1542135697.51056 | #FRAME_END           | ---
1542135698.01169 | #FRAME_START         | ---
1542135698.04095 | ELM_VOLTAGE          | N/V
1542135698.27007 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135698.48523 | COOLANT_TEMP         | 47 degC
1542135698.70805 | INTAKE_PRESSURE      | 39 kilopascal
1542135698.93151 | RPM                  | 944.0 revolutions_per_minute
1542135699.15745 | SPEED                | 0 kph
1542135699.38125 | INTAKE_TEMP          | 26 degC
1542135699.38257 | #FRAME_END           | ---
1542135699.88369 | #FRAME_START         | ---
1542135699.91095 | ELM_VOLTAGE          | N/V
1542135700.12536 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135700.34062 | COOLANT_TEMP         | 47 degC
1542135700.56420 | INTAKE_PRESSURE      | 39 kilopascal
1542135700.78750 | RPM                  | 945.0 revolutions_per_minute
1542135701.01141 | SPEED                | 0 kph
1542135701.23692 | INTAKE_TEMP          | 26 degC
1542135701.23830 | #FRAME_END           | ---
1542135701.73949 | #FRAME_START         | ---
1542135701.77104 | ELM_VOLTAGE          | N/V
1542135701.99719 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135702.21271 | COOLANT_TEMP         | 47 degC
1542135702.43580 | INTAKE_PRESSURE      | 39 kilopascal
1542135702.65912 | RPM                  | 927.0 revolutions_per_minute
1542135702.88304 | SPEED                | 0 kph
1542135703.10866 | INTAKE_TEMP          | 26 degC
1542135703.11016 | #FRAME_END           | ---
1542135703.61128 | #FRAME_START         | ---
1542135703.64115 | ELM_VOLTAGE          | N/V
1542135703.86877 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135704.08437 | COOLANT_TEMP         | 47 degC
1542135704.30745 | INTAKE_PRESSURE      | 40 kilopascal
1542135704.53073 | RPM                  | 946.0 revolutions_per_minute
1542135704.75459 | SPEED                | 0 kph
1542135704.98040 | INTAKE_TEMP          | 26 degC
1542135704.98183 | #FRAME_END           | ---
1542135705.48295 | #FRAME_START         | ---
1542135705.51101 | ELM_VOLTAGE          | N/V
1542135705.72439 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135705.94015 | COOLANT_TEMP         | 48 degC
1542135706.16312 | INTAKE_PRESSURE      | 40 kilopascal
1542135706.38632 | RPM                  | 935.0 revolutions_per_minute
1542135706.61025 | SPEED                | 0 kph
1542135706.83566 | INTAKE_TEMP          | 26 degC
1542135706.83705 | #FRAME_END           | ---
1542135707.34109 | #FRAME_START         | ---
1542135707.38096 | ELM_VOLTAGE          | N/V
1542135707.59607 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135707.81162 | COOLANT_TEMP         | 48 degC
1542135708.03463 | INTAKE_PRESSURE      | 40 kilopascal
1542135708.25809 | RPM                  | 935.0 revolutions_per_minute
1542135708.48199 | SPEED                | 0 kph
1542135708.70603 | INTAKE_TEMP          | 26 degC
1542135708.70696 | #FRAME_END           | ---
1542135709.20791 | #FRAME_START         | ---
1542135709.24057 | ELM_VOLTAGE          | N/V
1542135709.45154 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135709.66658 | COOLANT_TEMP         | 48 degC
1542135709.88980 | INTAKE_PRESSURE      | 40 kilopascal
1542135710.11314 | RPM                  | 922.0 revolutions_per_minute
1542135710.33690 | SPEED                | 0 kph
1542135710.56256 | INTAKE_TEMP          | 26 degC
1542135710.56387 | #FRAME_END           | ---
1542135711.06510 | #FRAME_START         | ---
1542135711.09095 | ELM_VOLTAGE          | N/V
1542135711.30711 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135711.52226 | COOLANT_TEMP         | 48 degC
1542135711.74455 | INTAKE_PRESSURE      | 40 kilopascal
1542135711.96869 | RPM                  | 932.0 revolutions_per_minute
1542135712.19263 | SPEED                | 0 kph
1542135712.41721 | INTAKE_TEMP          | 26 degC
1542135712.41853 | #FRAME_END           | ---
1542135712.92408 | #FRAME_START         | ---
1542135712.96098 | ELM_VOLTAGE          | N/V
1542135713.17874 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135713.39417 | COOLANT_TEMP         | 49 degC
1542135713.61704 | INTAKE_PRESSURE      | 40 kilopascal
1542135713.84040 | RPM                  | 882.0 revolutions_per_minute
1542135714.06439 | SPEED                | 0 kph
1542135714.28975 | INTAKE_TEMP          | 26 degC
1542135714.29108 | #FRAME_END           | ---
1542135714.79221 | #FRAME_START         | ---
1542135714.82094 | ELM_VOLTAGE          | N/V
1542135715.05047 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135715.26553 | COOLANT_TEMP         | 49 degC
1542135715.48858 | INTAKE_PRESSURE      | 72 kilopascal
1542135715.71203 | RPM                  | 918.0 revolutions_per_minute
1542135715.93596 | SPEED                | 4 kph
1542135716.16146 | INTAKE_TEMP          | 26 degC
1542135716.16278 | #FRAME_END           | ---
1542135716.66390 | #FRAME_START         | ---
1542135716.69094 | ELM_VOLTAGE          | N/V
1542135716.90614 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135717.12235 | COOLANT_TEMP         | 49 degC
1542135717.34483 | INTAKE_PRESSURE      | 41 kilopascal
1542135717.56813 | RPM                  | 1029.0 revolutions_per_minute
1542135717.79204 | SPEED                | 4 kph
1542135718.01779 | INTAKE_TEMP          | 26 degC
1542135718.01915 | #FRAME_END           | ---
1542135718.52046 | #FRAME_START         | ---
1542135718.55111 | ELM_VOLTAGE          | N/V
1542135718.77779 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135719.00843 | COOLANT_TEMP         | 49 degC
1542135719.23255 | INTAKE_PRESSURE      | 71 kilopascal
1542135719.45587 | RPM                  | 960.0 revolutions_per_minute
1542135719.67981 | SPEED                | 5 kph
1542135719.90538 | INTAKE_TEMP          | 26 degC
1542135719.90677 | #FRAME_END           | ---
1542135720.40788 | #FRAME_START         | ---
1542135720.44098 | ELM_VOLTAGE          | N/V
1542135720.66550 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135720.89704 | COOLANT_TEMP         | 49 degC
1542135721.12032 | INTAKE_PRESSURE      | 51 kilopascal
1542135721.34349 | RPM                  | 935.0 revolutions_per_minute
1542135721.56735 | SPEED                | 7 kph
1542135721.79309 | INTAKE_TEMP          | 26 degC
1542135721.79450 | #FRAME_END           | ---
1542135722.29562 | #FRAME_START         | ---
1542135722.32106 | ELM_VOLTAGE          | N/V
1542135722.53711 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135722.76871 | COOLANT_TEMP         | 49 degC
1542135722.99181 | INTAKE_PRESSURE      | 46 kilopascal
1542135723.21508 | RPM                  | 935.0 revolutions_per_minute
1542135723.42302 | SPEED                | 5 kph
1542135723.64863 | INTAKE_TEMP          | 26 degC
1542135723.65013 | #FRAME_END           | ---
